website,datetime,hop,vpn,ip,speed1,speed2,speed3
amazon.sg,2023-10-09 01:15:05,2,malaysia,173.239.236.125,52.985,102.708,48.209
amazon.sg,2023-10-09 01:15:05,3,malaysia,185.156.45.96,50.137,,
amazon.sg,2023-10-09 01:15:05,3.1,malaysia,185.156.45.100,49.393,,
amazon.sg,2023-10-09 01:15:05,3.2,malaysia,185.156.45.98,50.133,,
amazon.sg,2023-10-09 01:15:05,4,malaysia,138.199.0.223,49.697,48.914,51.114
amazon.sg,2023-10-09 01:15:05,5,malaysia,99.83.95.74,51.424,48.155,48.264
amazon.sg,2023-10-09 01:15:05,6,malaysia,52.93.10.172,53.469,,
amazon.sg,2023-10-09 01:15:05,6.1,malaysia,52.93.10.158,51.434,,
amazon.sg,2023-10-09 01:15:05,6.2,malaysia,52.93.10.170,66.376,,
amazon.sg,2023-10-09 01:15:05,7,malaysia,52.93.8.157,55.507,,
amazon.sg,2023-10-09 01:15:05,7.1,malaysia,15.230.209.60,53.697,,
amazon.sg,2023-10-09 01:15:05,7.2,malaysia,15.230.209.44,60.097,,
amazon.sg,2023-10-09 01:15:05,8,malaysia,54.239.40.253,51.185,,
amazon.sg,2023-10-09 01:15:05,8.1,malaysia,52.93.10.115,52.515,,
amazon.sg,2023-10-09 01:15:05,9,malaysia,52.93.9.68,48.923,,
amazon.sg,2023-10-09 01:15:05,10,malaysia,54.239.40.253,49.443,,
amazon.sg,2023-10-09 01:15:05,11,malaysia,52.93.9.46,50.426,,
amazon.sg,2023-10-09 01:15:05,11.1,malaysia,52.93.9.18,53.539,,
amazon.co.uk,2023-10-09 01:15:44,2,malaysia,173.239.236.124,80.908,47.438,
amazon.co.uk,2023-10-09 01:15:44,2.1,malaysia,173.239.236.125,74.972,,
amazon.co.uk,2023-10-09 01:15:44,3,malaysia,185.156.45.94,50.907,57.030,
amazon.co.uk,2023-10-09 01:15:44,3.1,malaysia,185.156.45.100,52.266,,
amazon.co.uk,2023-10-09 01:15:44,4,malaysia,63.218.107.129,51.740,,
amazon.co.uk,2023-10-09 01:15:44,5,malaysia,63.216.144.10,51.631,,
amazon.co.uk,2023-10-09 01:15:44,5.1,malaysia,63.223.34.54,69.968,,
amazon.co.uk,2023-10-09 01:15:44,5.2,malaysia,63.216.144.10,47.125,,
amazon.co.uk,2023-10-09 01:15:44,6,malaysia,129.250.5.61,53.934,,
amazon.co.uk,2023-10-09 01:15:44,7,malaysia,154.54.87.210,215.047,197.378,192.311
amazon.co.uk,2023-10-09 01:15:44,8,malaysia,154.54.72.109,217.546,203.236,210.981
amazon.co.uk,2023-10-09 01:15:44,9,malaysia,154.54.38.66,210.233,,
amazon.co.uk,2023-10-09 01:15:44,9.1,malaysia,129.250.4.148,234.137,,
amazon.co.uk,2023-10-09 01:15:44,9.2,malaysia,129.250.7.87,224.870,,
amazon.co.uk,2023-10-09 01:15:44,10,malaysia,168.143.97.214,261.198,,
amazon.co.uk,2023-10-09 01:15:44,10.1,malaysia,149.6.165.82,226.530,,
amazon.co.uk,2023-10-09 01:15:44,10.2,malaysia,168.143.97.214,262.465,,
amazon.co.uk,2023-10-09 01:15:44,11,malaysia,15.230.156.21,238.689,,
amazon.co.uk,2023-10-09 01:15:44,11.1,malaysia,52.46.95.84,262.092,,
amazon.co.uk,2023-10-09 01:15:44,11.2,malaysia,52.46.95.112,247.897,,
amazon.co.uk,2023-10-09 01:15:44,13,malaysia,52.46.94.215,211.972,,
amazon.co.uk,2023-10-09 01:15:44,13.1,malaysia,52.46.94.219,230.788,,
amazon.co.uk,2023-10-09 01:15:44,13.2,malaysia,52.46.94.217,218.179,,
amazon.co.uk,2023-10-09 01:15:44,14,malaysia,54.239.114.89,247.457,,
amazon.co.uk,2023-10-09 01:15:44,14.1,malaysia,15.230.82.172,246.389,,
amazon.co.uk,2023-10-09 01:15:44,14.2,malaysia,15.230.82.192,238.214,,
amazon.co.uk,2023-10-09 01:15:44,15,malaysia,15.230.82.224,233.520,,
amazon.com,2023-10-09 01:16:24,2,malaysia,173.239.236.125,47.960,44.753,
amazon.com,2023-10-09 01:16:24,2.1,malaysia,173.239.236.124,70.578,,
amazon.com,2023-10-09 01:16:24,3,malaysia,185.156.45.100,57.057,49.595,91.681
amazon.com,2023-10-09 01:16:24,4,malaysia,63.218.107.129,50.631,,
amazon.com,2023-10-09 01:16:24,5,malaysia,63.223.34.94,54.034,,
amazon.com,2023-10-09 01:16:24,6,malaysia,129.250.5.61,50.425,,
amazon.com,2023-10-09 01:16:24,7,malaysia,154.54.27.54,229.787,,
amazon.com,2023-10-09 01:16:24,8,malaysia,129.250.2.243,140.333,,
amazon.com,2023-10-09 01:16:24,8.1,malaysia,154.54.42.101,232.608,,
amazon.com,2023-10-09 01:16:24,9,malaysia,154.54.45.161,233.714,,
amazon.com,2023-10-09 01:16:24,10,malaysia,129.250.3.218,218.657,,
amazon.com,2023-10-09 01:16:24,10.1,malaysia,154.54.5.218,257.569,,
amazon.com,2023-10-09 01:16:24,10.2,malaysia,154.54.26.54,273.644,,
amazon.com,2023-10-09 01:16:24,11,malaysia,129.250.7.68,276.452,268.310,
amazon.com,2023-10-09 01:16:24,11.1,malaysia,154.54.0.53,266.190,,
amazon.com,2023-10-09 01:16:24,12,malaysia,129.250.4.22,259.384,,
amazon.com,2023-10-09 01:16:24,12.1,malaysia,154.54.6.78,257.812,,
amazon.com,2023-10-09 01:16:24,12.2,malaysia,129.250.4.22,243.405,,
amazon.com,2023-10-09 01:16:24,13,malaysia,128.241.14.138,256.145,,
amazon.com,2023-10-09 01:16:24,13.1,malaysia,154.54.3.246,251.733,,
amazon.com,2023-10-09 01:16:24,13.2,malaysia,128.241.14.222,253.085,,
amazon.com,2023-10-09 01:16:24,14,malaysia,54.239.105.113,254.741,,
amazon.com,2023-10-09 01:16:24,14.1,malaysia,15.230.130.147,243.591,,
amazon.com,2023-10-09 01:16:24,16,malaysia,52.93.34.151,245.573,,
amazon.com,2023-10-09 01:16:24,17,malaysia,52.93.64.111,256.687,,
amazon.com,2023-10-09 01:16:24,17.1,malaysia,52.93.64.143,259.654,,
amazon.com,2023-10-09 01:16:24,17.2,malaysia,52.93.64.177,256.321,,
amazon.in,2023-10-09 01:17:02,2,malaysia,173.239.236.124,56.091,,
amazon.in,2023-10-09 01:17:02,2.1,malaysia,173.239.236.125,52.133,,
amazon.in,2023-10-09 01:17:02,2.2,malaysia,173.239.236.124,46.227,,
amazon.in,2023-10-09 01:17:02,3,malaysia,185.156.45.98,50.481,,
amazon.in,2023-10-09 01:17:02,3.1,malaysia,185.156.45.96,48.911,45.995,
amazon.in,2023-10-09 01:17:02,4,malaysia,63.218.107.129,49.746,61.204,50.933
amazon.in,2023-10-09 01:17:02,5,malaysia,63.216.144.10,53.182,,
amazon.in,2023-10-09 01:17:02,6,malaysia,129.250.5.65,47.593,,
amazon.in,2023-10-09 01:17:02,6.1,malaysia,129.250.5.61,52.234,,
amazon.in,2023-10-09 01:17:02,7,malaysia,154.54.87.210,190.745,186.615,
amazon.in,2023-10-09 01:17:02,8,malaysia,129.250.7.29,214.854,,
amazon.in,2023-10-09 01:17:02,8.1,malaysia,154.54.72.109,238.302,200.910,
amazon.in,2023-10-09 01:17:02,9,malaysia,154.54.38.66,204.108,,
amazon.in,2023-10-09 01:17:02,9.1,malaysia,154.54.72.109,235.788,,
amazon.in,2023-10-09 01:17:02,9.2,malaysia,154.54.38.66,210.143,,
amazon.in,2023-10-09 01:17:02,10,malaysia,168.143.97.214,229.933,,
amazon.in,2023-10-09 01:17:02,10.1,malaysia,128.241.3.18,222.227,,
amazon.in,2023-10-09 01:17:02,10.2,malaysia,128.241.4.66,226.230,,
amazon.in,2023-10-09 01:17:02,11,malaysia,52.46.95.191,207.788,,
amazon.in,2023-10-09 01:17:02,11.1,malaysia,15.230.156.19,208.512,,
amazon.in,2023-10-09 01:17:02,13,malaysia,52.46.94.195,212.945,,
amazon.in,2023-10-09 01:17:02,14,malaysia,52.93.16.109,222.367,,
amazon.in,2023-10-09 01:17:02,14.1,malaysia,54.239.114.29,233.120,,
amazon.in,2023-10-09 01:17:02,14.2,malaysia,54.239.114.105,223.422,,
amazon.cn,2023-10-09 01:17:42,2,malaysia,173.239.236.125,51.227,,
amazon.cn,2023-10-09 01:17:42,2.1,malaysia,173.239.236.124,107.934,,
amazon.cn,2023-10-09 01:17:42,2.2,malaysia,173.239.236.125,55.707,,
amazon.cn,2023-10-09 01:17:42,3,malaysia,185.156.45.98,58.200,45.144,
amazon.cn,2023-10-09 01:17:42,3.1,malaysia,185.156.45.94,95.553,,
amazon.cn,2023-10-09 01:17:42,4,malaysia,116.51.27.121,52.748,81.440,63.138
amazon.cn,2023-10-09 01:17:42,6,malaysia,129.250.2.67,132.869,,
amazon.cn,2023-10-09 01:17:42,7,malaysia,129.250.2.42,129.979,,
amazon.cn,2023-10-09 01:17:42,8,malaysia,129.250.3.45,128.953,121.725,126.641
amazon.cn,2023-10-09 01:17:42,9,malaysia,129.250.7.33,129.806,150.988,135.980
amazon.cn,2023-10-09 01:17:42,10,malaysia,129.250.8.26,226.475,,
amazon.cn,2023-10-09 01:17:42,10.1,malaysia,219.158.34.153,239.309,,
amazon.cn,2023-10-09 01:17:42,11,malaysia,219.158.9.218,225.144,,
amazon.cn,2023-10-09 01:17:42,11.1,malaysia,125.33.186.158,226.742,,
amazon.cn,2023-10-09 01:17:42,12,malaysia,219.158.9.201,238.033,,
amazon.cn,2023-10-09 01:17:42,12.1,malaysia,114.249.179.70,244.568,,
amazon.cn,2023-10-09 01:17:42,13,malaysia,125.33.186.118,221.008,,
amazon.cn,2023-10-09 01:17:42,14,malaysia,54.222.0.171,226.208,,
amazon.cn,2023-10-09 01:17:42,14.1,malaysia,123.126.0.174,262.639,,
amazon.cn,2023-10-09 01:17:42,14.2,malaysia,123.126.0.146,254.187,,
amazon.cn,2023-10-09 01:17:42,15,malaysia,54.222.0.252,228.805,,
amazon.cn,2023-10-09 01:17:42,15.1,malaysia,202.106.204.238,228.232,230.145,
amazon.cn,2023-10-09 01:17:42,16,malaysia,54.222.0.165,224.250,,
amazon.cn,2023-10-09 01:17:42,16.1,malaysia,54.222.0.173,215.232,,
amazon.cn,2023-10-09 01:17:42,16.2,malaysia,54.222.0.171,333.868,,
amazon.cn,2023-10-09 01:17:42,17,malaysia,54.222.24.110,255.786,,
amazon.cn,2023-10-09 01:17:42,18,malaysia,54.222.24.249,227.110,240.049,
amazon.com.au,2023-10-09 01:18:18,2,malaysia,173.239.236.124,56.830,,
amazon.com.au,2023-10-09 01:18:18,2.1,malaysia,173.239.236.125,52.936,,
amazon.com.au,2023-10-09 01:18:18,2.2,malaysia,173.239.236.124,49.981,,
amazon.com.au,2023-10-09 01:18:18,3,malaysia,185.156.45.96,56.749,,
amazon.com.au,2023-10-09 01:18:18,3.1,malaysia,185.156.45.94,48.939,,
amazon.com.au,2023-10-09 01:18:18,3.2,malaysia,185.156.45.98,47.821,,
amazon.com.au,2023-10-09 01:18:18,4,malaysia,63.216.147.41,48.134,47.186,45.534
amazon.com.au,2023-10-09 01:18:18,5,malaysia,63.223.34.54,47.414,,
amazon.com.au,2023-10-09 01:18:18,5.1,malaysia,63.223.34.94,56.993,,
amazon.com.au,2023-10-09 01:18:18,6,malaysia,129.250.5.61,51.734,,
amazon.com.au,2023-10-09 01:18:18,7,malaysia,154.54.27.54,314.989,226.912,
amazon.com.au,2023-10-09 01:18:18,8,malaysia,38.142.35.250,232.745,,
amazon.com.au,2023-10-09 01:18:18,8.1,malaysia,129.250.2.243,128.181,121.619,
amazon.com.au,2023-10-09 01:18:18,9,malaysia,52.93.92.40,228.038,,
amazon.com.au,2023-10-09 01:18:18,9.1,malaysia,52.93.92.44,224.155,,
amazon.com.au,2023-10-09 01:18:18,9.2,malaysia,38.122.146.170,222.290,,
amazon.com.au,2023-10-09 01:18:18,10,malaysia,129.250.3.218,219.461,,
amazon.com.au,2023-10-09 01:18:18,10.1,malaysia,129.250.2.50,130.615,,
amazon.com.au,2023-10-09 01:18:18,10.2,malaysia,52.93.92.41,234.568,,
amazon.com.au,2023-10-09 01:18:18,11,malaysia,129.250.3.79,232.668,,
amazon.com.au,2023-10-09 01:18:18,11.1,malaysia,129.250.3.140,251.824,,
amazon.com.au,2023-10-09 01:18:18,12,malaysia,52.93.92.53,274.767,,
amazon.com.au,2023-10-09 01:18:18,12.1,malaysia,52.93.92.33,269.794,,
amazon.com.au,2023-10-09 01:18:18,12.2,malaysia,52.93.92.39,228.034,,
amazon.com.au,2023-10-09 01:18:18,14,malaysia,52.93.92.51,232.643,,
amazon.com.au,2023-10-09 01:18:18,15,malaysia,52.93.92.40,234.222,,
amazon.com.au,2023-10-09 01:18:18,16,malaysia,52.93.92.43,239.566,,
amazon.com.au,2023-10-09 01:18:18,17,malaysia,54.239.42.39,232.857,,
amazon.com.au,2023-10-09 01:18:18,20,malaysia,150.222.249.149,257.705,,
amazon.com.au,2023-10-09 01:18:18,20.1,malaysia,108.166.236.4,226.443,,
amazon.ca,2023-10-09 01:18:51,2,malaysia,173.239.236.125,50.924,56.144,
amazon.ca,2023-10-09 01:18:51,2.1,malaysia,173.239.236.124,85.691,,
amazon.ca,2023-10-09 01:18:51,3,malaysia,185.156.45.100,50.833,60.035,
amazon.ca,2023-10-09 01:18:51,3.1,malaysia,185.156.45.98,61.431,,
amazon.ca,2023-10-09 01:18:51,4,malaysia,63.216.147.41,50.169,,
amazon.ca,2023-10-09 01:18:51,4.1,malaysia,63.218.107.129,68.487,,
amazon.ca,2023-10-09 01:18:51,4.2,malaysia,63.216.147.41,48.166,,
amazon.ca,2023-10-09 01:18:51,5,malaysia,63.223.34.54,50.108,,
amazon.ca,2023-10-09 01:18:51,5.1,malaysia,63.216.144.10,54.103,,
amazon.ca,2023-10-09 01:18:51,5.2,malaysia,63.223.34.94,49.197,,
amazon.ca,2023-10-09 01:18:51,7,malaysia,154.54.27.54,228.466,,
amazon.ca,2023-10-09 01:18:51,8,malaysia,129.250.2.243,129.399,129.458,
amazon.ca,2023-10-09 01:18:51,8.1,malaysia,154.54.42.101,236.213,,
amazon.ca,2023-10-09 01:18:51,9,malaysia,154.54.44.85,227.222,,
amazon.ca,2023-10-09 01:18:51,9.1,malaysia,154.54.42.101,238.411,,
amazon.ca,2023-10-09 01:18:51,10,malaysia,129.250.3.218,239.038,,
amazon.ca,2023-10-09 01:18:51,10.1,malaysia,154.54.44.85,246.090,,
amazon.ca,2023-10-09 01:18:51,10.2,malaysia,154.54.45.161,244.307,,
amazon.ca,2023-10-09 01:18:51,11,malaysia,129.250.7.68,256.955,284.293,
amazon.ca,2023-10-09 01:18:51,12,malaysia,154.54.0.53,255.849,,
amazon.ca,2023-10-09 01:18:51,12.1,malaysia,154.54.3.246,253.935,,
amazon.ca,2023-10-09 01:18:51,12.2,malaysia,129.250.4.8,267.329,,
amazon.ca,2023-10-09 01:18:51,13,malaysia,128.241.14.138,252.204,,
amazon.ca,2023-10-09 01:18:51,13.1,malaysia,38.104.61.42,278.801,277.548,
amazon.ca,2023-10-09 01:18:51,14,malaysia,54.239.105.119,253.510,,
amazon.ca,2023-10-09 01:18:51,14.1,malaysia,15.230.130.141,263.168,,
amazon.ca,2023-10-09 01:18:51,17,malaysia,52.93.64.141,263.399,,
amazon.ca,2023-10-09 01:18:51,17.1,malaysia,15.230.48.42,246.696,,
amazon.ca,2023-10-09 01:18:51,17.2,malaysia,15.230.48.56,244.818,,
amazon.co.uk,2023-10-09 01:19:28,2,malaysia,173.239.236.124,60.111,78.225,49.947
amazon.co.uk,2023-10-09 01:19:28,3,malaysia,185.156.45.100,76.554,,
amazon.co.uk,2023-10-09 01:19:28,3.1,malaysia,185.156.45.94,68.882,,
amazon.co.uk,2023-10-09 01:19:28,3.2,malaysia,185.156.45.96,49.582,,
amazon.co.uk,2023-10-09 01:19:28,4,malaysia,63.216.147.41,52.255,85.104,45.718
amazon.co.uk,2023-10-09 01:19:28,5,malaysia,63.216.144.10,87.995,54.832,
amazon.co.uk,2023-10-09 01:19:28,5.1,malaysia,63.223.34.94,68.193,,
amazon.co.uk,2023-10-09 01:19:28,6,malaysia,63.218.164.66,50.630,,
amazon.co.uk,2023-10-09 01:19:28,7,malaysia,129.250.7.9,203.304,,
amazon.co.uk,2023-10-09 01:19:28,7.1,malaysia,154.54.87.210,193.859,,
amazon.co.uk,2023-10-09 01:19:28,7.2,malaysia,129.250.7.9,232.890,,
amazon.co.uk,2023-10-09 01:19:28,8,malaysia,129.250.7.29,212.338,,
amazon.co.uk,2023-10-09 01:19:28,8.1,malaysia,154.54.72.109,215.134,330.652,
amazon.co.uk,2023-10-09 01:19:28,9,malaysia,129.250.7.87,229.248,,
amazon.co.uk,2023-10-09 01:19:28,9.1,malaysia,154.54.38.66,232.753,205.073,
amazon.co.uk,2023-10-09 01:19:28,10,malaysia,149.11.174.210,256.598,,
amazon.co.uk,2023-10-09 01:19:28,10.1,malaysia,168.143.105.250,218.209,,
amazon.co.uk,2023-10-09 01:19:28,10.2,malaysia,149.6.165.82,209.953,,
amazon.co.uk,2023-10-09 01:19:28,11,malaysia,52.46.95.84,222.366,,
amazon.co.uk,2023-10-09 01:19:28,11.1,malaysia,52.46.95.201,222.613,,
amazon.co.uk,2023-10-09 01:19:28,11.2,malaysia,52.46.95.124,231.853,,
amazon.co.uk,2023-10-09 01:19:28,13,malaysia,52.46.94.221,215.609,,
amazon.co.uk,2023-10-09 01:19:28,13.1,malaysia,52.46.94.211,208.469,,
amazon.co.uk,2023-10-09 01:19:28,14,malaysia,15.230.82.252,261.798,,
amazon.co.uk,2023-10-09 01:19:28,14.1,malaysia,52.46.94.213,196.460,,
amazon.co.uk,2023-10-09 01:19:28,14.2,malaysia,52.46.94.205,199.234,,
amazon.co.uk,2023-10-09 01:19:28,15,malaysia,15.230.82.194,202.776,,
amazon.co.jp,2023-10-09 01:20:07,2,malaysia,173.239.236.125,49.690,,
amazon.co.jp,2023-10-09 01:20:07,2.1,malaysia,173.239.236.124,48.964,,
amazon.co.jp,2023-10-09 01:20:07,2.2,malaysia,173.239.236.125,45.937,,
amazon.co.jp,2023-10-09 01:20:07,3,malaysia,185.156.45.94,53.779,,
amazon.co.jp,2023-10-09 01:20:07,3.1,malaysia,185.156.45.96,51.576,46.099,
amazon.co.jp,2023-10-09 01:20:07,4,malaysia,63.218.107.129,48.863,57.933,72.284
amazon.co.jp,2023-10-09 01:20:07,5,malaysia,63.216.144.10,50.149,47.529,
amazon.co.jp,2023-10-09 01:20:07,5.1,malaysia,63.218.164.66,50.133,,
amazon.co.jp,2023-10-09 01:20:07,6,malaysia,129.250.5.65,56.147,50.506,
amazon.co.jp,2023-10-09 01:20:07,7,malaysia,154.54.27.54,228.019,,
amazon.co.jp,2023-10-09 01:20:07,8,malaysia,129.250.2.243,133.418,,
amazon.co.jp,2023-10-09 01:20:07,8.1,malaysia,38.88.196.90,227.820,,
amazon.co.jp,2023-10-09 01:20:07,9,malaysia,52.93.92.42,215.798,,
amazon.co.jp,2023-10-09 01:20:07,9.1,malaysia,129.250.5.28,89.062,92.085,
amazon.co.jp,2023-10-09 01:20:07,10,malaysia,52.93.92.51,239.992,,
amazon.co.jp,2023-10-09 01:20:07,10.1,malaysia,129.250.2.50,141.965,,
amazon.co.jp,2023-10-09 01:20:07,10.2,malaysia,52.93.92.40,220.072,,
amazon.co.jp,2023-10-09 01:20:07,11,malaysia,129.250.3.79,229.422,,
amazon.co.jp,2023-10-09 01:20:07,12,malaysia,52.93.92.27,313.395,,
amazon.co.jp,2023-10-09 01:20:07,13,malaysia,52.93.92.31,250.437,,
amazon.co.jp,2023-10-09 01:20:07,14,malaysia,52.93.92.31,361.852,,
amazon.co.jp,2023-10-09 01:20:07,14.1,malaysia,52.93.92.29,225.709,,
amazon.co.jp,2023-10-09 01:20:07,14.2,malaysia,129.250.201.66,228.435,,
amazon.co.jp,2023-10-09 01:20:07,16,malaysia,52.93.92.37,229.266,,
amazon.co.jp,2023-10-09 01:20:07,19,malaysia,52.93.131.145,247.845,,
amazon.co.jp,2023-10-09 01:20:07,20,malaysia,54.239.41.101,243.761,,
amazon.jp,2023-10-09 01:20:53,2,malaysia,173.239.236.124,48.627,84.873,
amazon.jp,2023-10-09 01:20:53,2.1,malaysia,173.239.236.125,48.019,,
amazon.jp,2023-10-09 01:20:53,3,malaysia,185.156.45.96,57.308,51.788,51.797
amazon.jp,2023-10-09 01:20:53,4,malaysia,138.199.0.221,66.360,53.892,
amazon.jp,2023-10-09 01:20:53,4.1,malaysia,138.199.0.223,49.687,,
amazon.jp,2023-10-09 01:20:53,5,malaysia,99.83.95.74,55.276,52.066,47.403
amazon.jp,2023-10-09 01:20:53,6,malaysia,52.93.10.172,60.719,,
amazon.jp,2023-10-09 01:20:53,6.1,malaysia,52.93.10.160,76.312,,
amazon.jp,2023-10-09 01:20:53,6.2,malaysia,52.93.10.164,78.392,,
lazada.sg,2023-10-09 01:21:49,2,malaysia,173.239.236.125,54.904,53.542,50.489
lazada.sg,2023-10-09 01:21:49,3,malaysia,185.156.45.94,53.523,,
lazada.sg,2023-10-09 01:21:49,3.1,malaysia,185.156.45.96,50.729,,
lazada.sg,2023-10-09 01:21:49,3.2,malaysia,185.156.45.98,54.645,,
lazada.sg,2023-10-09 01:21:49,4,malaysia,27.111.229.234,48.579,,
lazada.sg,2023-10-09 01:21:49,5,malaysia,116.251.81.133,57.774,,
lazada.sg,2023-10-09 01:21:49,5.1,malaysia,116.251.74.193,67.769,,
lazada.com.my,2023-10-09 01:22:47,2,malaysia,173.239.236.125,82.194,79.365,
lazada.com.my,2023-10-09 01:22:47,2.1,malaysia,173.239.236.124,52.160,,
lazada.com.my,2023-10-09 01:22:47,3,malaysia,185.156.45.98,101.799,,
lazada.com.my,2023-10-09 01:22:47,3.1,malaysia,185.156.45.100,142.815,49.772,
lazada.com.my,2023-10-09 01:22:47,5,malaysia,47.246.116.194,48.913,,
lazada.com.my,2023-10-09 01:22:47,5.1,malaysia,47.246.116.186,126.306,,
lazada.com.ph,2023-10-09 01:23:41,2,malaysia,173.239.236.124,58.060,52.147,
lazada.com.ph,2023-10-09 01:23:41,2.1,malaysia,173.239.236.125,56.723,,
lazada.com.ph,2023-10-09 01:23:41,3,malaysia,185.156.45.94,50.414,49.715,47.875
lazada.com.ph,2023-10-09 01:23:41,5,malaysia,47.246.116.194,53.940,,
lazada.com.ph,2023-10-09 01:23:41,5.1,malaysia,47.246.116.186,63.057,,
lazada.com.ph,2023-10-09 01:23:41,5.2,malaysia,116.251.81.133,67.026,,
lazada.co.id,2023-10-09 01:25:22,2,malaysia,173.239.236.125,51.225,46.158,
lazada.co.id,2023-10-09 01:25:22,2.1,malaysia,173.239.236.124,52.288,,
lazada.co.id,2023-10-09 01:25:22,3,malaysia,185.156.45.98,60.729,,
lazada.co.id,2023-10-09 01:25:22,3.1,malaysia,185.156.45.94,89.264,,
lazada.co.id,2023-10-09 01:25:22,3.2,malaysia,185.156.45.98,212.750,,
lazada.co.id,2023-10-09 01:25:22,4,malaysia,27.111.229.35,53.410,115.816,
lazada.co.id,2023-10-09 01:25:22,6,malaysia,103.211.230.70,63.338,180.456,
lazada.co.id,2023-10-09 01:25:22,6.1,malaysia,103.211.230.66,221.671,,
lazada.com,2023-10-09 01:26:22,2,malaysia,173.239.236.124,97.579,101.653,
lazada.com,2023-10-09 01:26:22,2.1,malaysia,173.239.236.125,132.876,,
lazada.com,2023-10-09 01:26:22,3,malaysia,185.156.45.96,101.470,,
lazada.com,2023-10-09 01:26:22,3.1,malaysia,185.156.45.94,101.971,,
lazada.com,2023-10-09 01:26:22,3.2,malaysia,185.156.45.98,192.602,,
lazada.com,2023-10-09 01:26:22,5,malaysia,47.246.116.186,163.365,64.762,
lazada.co.th,2023-10-09 01:27:15,2,malaysia,173.239.236.125,61.247,,
lazada.co.th,2023-10-09 01:27:15,2.1,malaysia,173.239.236.124,59.508,,
lazada.co.th,2023-10-09 01:27:15,2.2,malaysia,173.239.236.125,48.821,,
lazada.co.th,2023-10-09 01:27:15,3,malaysia,185.156.45.94,276.712,,
lazada.co.th,2023-10-09 01:27:15,3.1,malaysia,185.156.45.96,62.661,51.049,
lazada.co.th,2023-10-09 01:27:15,5,malaysia,116.251.74.201,129.697,,
lazada.co.th,2023-10-09 01:27:15,5.1,malaysia,116.251.74.197,200.233,,
lazada.vn,2023-10-09 01:28:12,2,malaysia,173.239.236.124,221.315,48.982,143.852
lazada.vn,2023-10-09 01:28:12,3,malaysia,185.156.45.98,191.497,,
lazada.vn,2023-10-09 01:28:12,3.1,malaysia,185.156.45.100,94.755,,
lazada.vn,2023-10-09 01:28:12,3.2,malaysia,185.156.45.98,47.801,,
lazada.vn,2023-10-09 01:28:12,5,malaysia,116.251.74.193,64.016,,
lazada.cn,2023-10-09 01:29:04,2,malaysia,173.239.236.124,66.263,165.639,60.423
lazada.cn,2023-10-09 01:29:04,3,malaysia,185.156.45.98,45.761,,
lazada.cn,2023-10-09 01:29:04,3.1,malaysia,185.156.45.100,138.340,,
lazada.cn,2023-10-09 01:29:04,3.2,malaysia,185.156.45.98,55.141,,
lazada.cn,2023-10-09 01:29:04,5,malaysia,154.54.87.214,207.545,,
lazada.cn,2023-10-09 01:29:04,5.1,malaysia,154.54.87.210,207.330,210.075,
lazada.cn,2023-10-09 01:29:04,6,malaysia,154.54.72.109,245.470,,
lazada.cn,2023-10-09 01:29:04,6.1,malaysia,154.54.72.225,246.210,,
lazada.cn,2023-10-09 01:29:04,7,malaysia,154.54.58.237,325.591,217.263,
lazada.cn,2023-10-09 01:29:04,7.1,malaysia,154.54.58.233,292.336,,
lazada.cn,2023-10-09 01:29:04,8,malaysia,130.117.0.2,250.192,,
lazada.cn,2023-10-09 01:29:04,8.1,malaysia,130.117.1.117,206.282,585.594,
lazada.cn,2023-10-09 01:29:04,9,malaysia,149.14.159.114,385.777,346.423,359.256
lazada.cn,2023-10-09 01:29:04,11,malaysia,202.97.12.89,409.468,,
lazada.cn,2023-10-09 01:29:04,11.1,malaysia,202.97.12.49,424.337,,
lazada.cn,2023-10-09 01:29:04,13,malaysia,36.110.247.42,394.037,,
lazada.cn,2023-10-09 01:29:04,13.1,malaysia,36.110.246.126,323.676,,
lazada.cn,2023-10-09 01:29:04,14,malaysia,106.39.194.14,365.465,,
lazada.cn,2023-10-09 01:29:04,14.1,malaysia,36.110.253.109,391.885,,
lazada.cn,2023-10-09 01:29:04,15,malaysia,106.38.196.242,327.091,,
shopee.sg,2023-10-09 01:29:49,2,malaysia,173.239.236.125,64.889,,
shopee.sg,2023-10-09 01:29:49,2.1,malaysia,173.239.236.124,59.972,,
shopee.sg,2023-10-09 01:29:49,2.2,malaysia,173.239.236.125,51.225,,
shopee.sg,2023-10-09 01:29:49,3,malaysia,185.156.45.94,49.558,,
shopee.sg,2023-10-09 01:29:49,3.1,malaysia,185.156.45.100,55.101,,
shopee.sg,2023-10-09 01:29:49,3.2,malaysia,185.156.45.96,53.841,,
shopee.sg,2023-10-09 01:29:49,4,malaysia,138.199.0.223,53.425,53.308,
shopee.sg,2023-10-09 01:29:49,4.1,malaysia,138.199.0.221,56.613,,
shopee.sg,2023-10-09 01:29:49,5,malaysia,37.19.192.191,47.819,91.184,62.079
shopee.sg,2023-10-09 01:29:49,6,malaysia,203.116.31.70,87.746,55.411,49.671
shopee.sg,2023-10-09 01:29:49,7,malaysia,143.92.96.52,85.240,77.236,
shopee.sg,2023-10-09 01:29:49,7.1,malaysia,143.92.96.48,48.314,,
shopee.sg,2023-10-09 01:29:49,8,malaysia,143.92.108.186,65.738,,
